Country,Type,Year,AverageTemperature,TemperatureDifference,AverageTemperatureUncertainty,BaseTemperature
Zimbabwe,C,1927,20.81125,-0.014983333333333348,0.3595833333333333,20.826233333333334
Zimbabwe,C,1928,21.339083333333335,0.5128500000000003,0.5365833333333334,20.826233333333334
Zimbabwe,C,1929,21.187916666666666,0.3616833333333318,0.42825,20.826233333333334
Zimbabwe,C,1930,20.71075,-0.1154833333333336,0.3988333333333334,20.826233333333334
Zimbabwe,C,1931,21.403750000000002,0.5775166666666678,0.48008333333333325,20.826233333333334
Zimbabwe,C,1932,20.925499999999996,0.09926666666666151,0.3373333333333333,20.826233333333334
Zimbabwe,C,1933,20.818833333333334,-0.007400000000000517,0.31716666666666665,20.826233333333334
Zimbabwe,C,1934,21.218083333333336,0.3918500000000016,0.26258333333333334,20.826233333333334
Zimbabwe,C,1935,20.580333333333332,-0.24590000000000245,0.3451666666666667,20.826233333333334
Zimbabwe,C,1936,20.696,-0.13023333333333298,0.2753333333333333,20.826233333333334
Zimbabwe,C,1937,20.88716666666667,0.060933333333334616,0.40149999999999997,20.826233333333334
Zimbabwe,C,1938,21.24116666666667,0.4149333333333338,0.2886666666666667,20.826233333333334
Zimbabwe,C,1939,20.415833333333335,-0.4103999999999992,0.29583333333333334,20.826233333333334
Zimbabwe,C,1965,20.992333333333335,0.16610000000000014,0.264,20.826233333333334
Zimbabwe,C,1944,21.324416666666668,0.4981833333333334,0.29633333333333334,20.826233333333334
Zimbabwe,C,1967,21.14533333333333,0.3190999999999953,0.23975000000000002,20.826233333333334
Zimbabwe,C,2001,21.69366666666666,0.8674333333333273,0.314,20.826233333333334
Zimbabwe,C,1992,22.840333333333334,2.014099999999999,0.29083333333333333,20.826233333333334
Zimbabwe,C,1993,21.85225,1.026016666666667,0.2426666666666667,20.826233333333334
Zimbabwe,C,1994,21.60875,0.7825166666666661,0.26066666666666666,20.826233333333334
Zimbabwe,C,1995,22.49633333333333,1.6700999999999944,0.286,20.826233333333334
Zimbabwe,C,1996,21.55316666666667,0.726933333333335,0.24316666666666667,20.826233333333334
Zimbabwe,C,1997,21.566666666666666,0.7404333333333319,0.28125000000000006,20.826233333333334
Zimbabwe,C,1998,22.142166666666668,1.3159333333333336,0.25433333333333336,20.826233333333334
Zimbabwe,C,1999,21.486333333333334,0.6600999999999999,0.25083333333333335,20.826233333333334
Zimbabwe,C,2000,21.149,0.3227666666666664,0.26825,20.826233333333334
Zimbabwe,C,2002,22.081083333333336,1.2548500000000011,0.30574999999999997,20.826233333333334
Zimbabwe,C,1990,22.13025,1.3040166666666657,0.24874999999999994,20.826233333333334
Zimbabwe,C,2003,21.891250000000003,1.0650166666666685,0.4013333333333333,20.826233333333334
Zimbabwe,C,2004,21.330916666666663,0.5046833333333289,0.32908333333333334,20.826233333333334
Zimbabwe,C,2005,22.509916666666665,1.683683333333331,0.2723333333333333,20.826233333333334
Zimbabwe,C,2006,21.618750000000002,0.7925166666666676,0.315,20.826233333333334
Zimbabwe,C,2007,21.604250000000004,0.7780166666666695,0.32,20.826233333333334
Zimbabwe,C,2008,21.545583333333337,0.7193500000000022,0.43300000000000005,20.826233333333334
Zimbabwe,C,2009,21.37725,0.5510166666666656,0.4364166666666667,20.826233333333334
Zimbabwe,C,2010,21.986250000000002,1.1600166666666674,0.4096666666666667,20.826233333333334
Zimbabwe,C,1968,21.363166666666668,0.5369333333333337,0.2101666666666667,20.826233333333334
Zimbabwe,C,1991,21.789666666666665,0.9634333333333309,0.24858333333333335,20.826233333333334
Zimbabwe,C,2011,21.602416666666667,0.7761833333333321,0.3934166666666666,20.826233333333334
Zimbabwe,C,1989,21.432249999999996,0.6060166666666618,0.24083333333333334,20.826233333333334
Zimbabwe,C,1979,21.255666666666666,0.429433333333332,0.205,20.826233333333334
Zimbabwe,C,1970,21.79875,0.9725166666666638,0.18958333333333335,20.826233333333334
Zimbabwe,C,1971,21.16025,0.33401666666666685,0.21183333333333332,20.826233333333334
Zimbabwe,C,1972,21.031583333333334,0.20534999999999926,0.2085,20.826233333333334
Zimbabwe,C,1973,21.46041666666667,0.6341833333333362,0.25183333333333335,20.826233333333334
Zimbabwe,C,1974,20.558249999999997,-0.267983333333337,0.24025,20.826233333333334
Zimbabwe,C,1975,20.833499999999997,0.007266666666662758,0.21650000000000003,20.826233333333334
